"Are you self-employed?","How many employees does your company or organization have?","Is your employer primarily a tech company/organization?","Is your primary role within your company related to tech/IT?","Does your employer provide mental health benefits as part of healthcare coverage?","Do you know the options for mental health care available under your employer-provided coverage?","Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?","Does your employer offer resources to learn more about mental health concerns and options for seeking help?","Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?","If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:","Do you think that discussing a mental health disorder with your employer would have negative consequences?","Do you think that discussing a physical health issue with your employer would have negative consequences?","Would you feel comfortable discussing a mental health disorder with your coworkers?","Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?","Do you feel that your employer takes mental health as seriously as physical health?","Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?","Do you have medical coverage (private insurance or state-provided) which includes treatment of  mental health issues?","Do you know local or online resources to seek help for a mental health disorder?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health issue to a coworker or employee, do you believe this has impacted you negatively?","Do you believe your productivity is ever affected by a mental health issue?","If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?","Do you have previous employers?","Have your previous employers provided mental health benefits?","Were you aware of the options for mental health care provided by your previous employers?","Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?","Did your previous employers provide resources to learn more about mental health issues and how to seek help?","Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?","Do you think that discussing a mental health disorder with previous employers would have negative consequences?","Do you think that discussing a physical health issue with previous employers would have negative consequences?","Would you have been willing to discuss a mental health issue with your previous co-workers?","Would you have been willing to discuss a mental health issue with your direct supervisor(s)?","Did you feel that your previous employers took mental health as seriously as physical health?","Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?","Would you be willing to bring up a physical health issue with a potential employer in an interview?","Why or why not?","Would you bring up a mental health issue with a potential employer in an interview?","Why or why not?","Do you feel that being identified as a person with a mental health issue would hurt your career?","Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?","How willing would you be to share with friends and family that you have a mental illness?","Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?","Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?","Do you have a family history of mental illness?","Have you had a mental health disorder in the past?","Do you currently have a mental health disorder?","If yes, what condition(s) have you been diagnosed with?","If maybe, what condition(s) do you believe you have?","Have you been diagnosed with a mental health condition by a medical professional?","If so, what condition(s) were you diagnosed with?","Have you ever sought treatment for a mental health issue from a mental health professional?","If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?","What is your age?","What is your gender?","What country do you live in?","What US state or territory do you live in?","What country do you work in?","What US state or territory do you work in?","Which of the following best describes your work position?","Do you work remotely?"
0,6-25,1,,"I don't know",No,No,"I don't know","I don't know","Somewhat difficult",Maybe,No,No,Maybe,"I don't know",No,,,,,,,,,1,"I don't know","N/A (not currently aware)","None did","None did","I don't know","I don't know","None of them","No, at none of my previous employers","No, at none of my previous employers","I don't know","None of them",Maybe,"I wouldn't want it to be the reason I was not hired.",Maybe,"I feel it might color the opinion of everything I said or did.",Maybe,"Yes, I think they would","Somewhat not open",No,,Yes,No,No,,,No,,0,"Not applicable to me","Not applicable to me",39,Male,"United States of America",Oregon,"United States of America",Oregon,DevOps/SysAdmin,Never
0,100-500,1,,"I don't know","I am not sure",No,No,"I don't know","Somewhat easy",Maybe,Maybe,Maybe,No,No,No,,,,,,,,,1,"I don't know","N/A (not currently aware)","None did","None did","I don't know","Some of them","Some of them","Some of my previous employers","Some of my previous employers","Some did","Some of them",Maybe,,No,,"Yes, I think it would",Maybe,"Somewhat not open","Maybe/Not sure",Yes,No,Maybe,Maybe,,"Anxiety Disorder (Generalized, Social, Phobia, etc)",No,,0,"Not applicable to me",Sometimes,36,male,"United States of America",California,"United States of America",California,"Front-end Developer",Never
0,6-25,1,,No,No,No,No,"I don't know","Very easy",No,No,Maybe,Maybe,Yes,No,,,,,,,,,1,"Some did","I was aware of some","None did","Some did","I don't know","I don't know","None of them","Some of my previous employers","Some of my previous employers","I don't know","None of them",Maybe,"Depends what it was and how it affected my ability to do the job, no change in ability, no discussion.",Maybe,,"No, I don't think it would","No, I don't think they would","Very open",No,,Yes,Yes,No,,,No,,1,"Not applicable to me","Not applicable to me",34,male,"United Kingdom",,"United Kingdom",,"Supervisor/Team Lead",Always
0,26-100,1,,Yes,No,No,"I don't know","I don't know","Very difficult",Maybe,No,No,No,"I don't know",No,,,,,,,,,1,"Some did","N/A (not currently aware)","None did","None did","I don't know","Some of them","None of them","Some of my previous employers","Some of my previous employers","Some did","None of them",Maybe,"might affect chances of getting the job",Maybe,"if I felt they would understand I would, otherwise I wouldn't for fear of being discriminated against",Maybe,Maybe,"Somewhat open",No,,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,25,female,"United States of America",Minnesota,"United States of America",Minnesota,"Front-end Developer",Never
0,26-100,0,1,"I don't know",No,Yes,Yes,"I don't know","Somewhat difficult",Maybe,No,Maybe,No,Yes,No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","None of them","None of them","Some of my previous employers","Some of my previous employers","I don't know","None of them",Maybe,,Maybe,,Maybe,Maybe,"Somewhat open",No,,Yes,No,No,,,No,,0,"Not applicable to me","Not applicable to me",28,Male,Finland,,Finland,,"Back-end Developer|DevOps/SysAdmin",Sometimes
0,"More than 1000",1,,Yes,Yes,"I don't know","I don't know",No,"Somewhat easy",No,No,Yes,Yes,Yes,No,,,,,,,,,1,"Yes, they all did","I was aware of some","None did","Some did","I don't know","Some of them","Some of them","Some of my previous employers","Some of my previous employers","Some did","None of them",No,"Bit knowing the environment if the new employer would make me nervous to do so",No,"Bit knowing the environment if the new employer would make me nervous to do so",Maybe,Maybe,"Very open",No,,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder",1,Rarely,Often,38,Male,"United States of America",Indiana,"United States of America",Indiana,"DevOps/SysAdmin|Back-end Developer|Front-end Developer",Sometimes
0,100-500,1,,Yes,No,No,"I don't know",Yes,"Somewhat easy",No,No,Maybe,Yes,Yes,No,,,,,,,,,1,"Some did","I was aware of some","None did","None did","Yes, always","Some of them","Some of them","Some of my previous employers","Some of my previous employers","Some did","None of them",Yes,"I want to set expectations up front",Maybe,Stigma,"No, I don't think it would",Maybe,"Somewhat open",No,,No,No,No,,,No,,0,"Not applicable to me","Not applicable to me",39,Male,"United States of America",Massachusetts,"United States of America",Massachusetts,"Supervisor/Team Lead",Always
0,6-25,0,0,"I don't know","I am not sure",No,No,"I don't know","Somewhat difficult",Maybe,No,Maybe,Maybe,"I don't know",No,,,,,,,,,1,"No, none did","No, I only became aware later","None did","None did","I don't know","I don't know","Some of them","No, at none of my previous employers","I don't know","None did","Some of them",Maybe,"Possibly wouldn't receive the job because of too much baggage or they make think I am a complainer ",No,"They might think I am unstable or unreliable","Yes, I think it would","Yes, I think they would","Somewhat not open","Maybe/Not sure",Maybe,"I don't know",Maybe,Maybe,,"Mood Disorder (Depression, Bipolar Disorder, etc)",No,,0,"Not applicable to me",Sometimes,32,Male,"United States of America",Minnesota,"United States of America",Minnesota,"Supervisor/Team Lead|Designer",Never
0,26-100,0,1,"I don't know","I am not sure",No,"I don't know","I don't know","Somewhat difficult",Maybe,No,No,Maybe,"I don't know",No,,,,,,,,,1,"Some did","I was aware of some","None did","Some did","I don't know","Some of them","None of them","Some of my previous employers","Some of my previous employers","Some did","None of them",Yes,"Because it might affect my ability to get to the office in the future.",No,"Because of the stigma involved. I don't want them to think that I would not be able to do my job regardless of my physical condition.","Yes, I think it would",Maybe,"Very open",N/A,,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,No,,1,Never,Often,27,female,"United States of America","New York","United States of America","New York","Back-end Developer|Front-end Developer",Never
0,500-1000,1,,Yes,Yes,"I don't know","I don't know","I don't know","Somewhat difficult",Maybe,No,Maybe,Maybe,"I don't know",No,,,,,,,,,1,"Some did","I was aware of some","Some did","Some did",Sometimes,"Some of them","Some of them","Some of my previous employers","Some of my previous employers","None did","Some of them",Maybe,,No,"Risk of not getting hired.","Yes, it has",Maybe,"Very open","Yes, I experienced",Maybe,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (Anorexia, Bulimia, etc)",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Sometimes,31,female,"United States of America",Oregon,"United States of America",Pennsylvania,"Front-end Developer",Sometimes
0,26-100,1,,"I don't know",No,No,No,"I don't know","Neither easy nor difficult",No,No,No,No,No,No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Some of them","Some of them","Some of my previous employers","Some of my previous employers","Some did","Some of them",No,"In case it affected how well they though I could do the job/reliability",No,"In case it affected how well they though I could do the job/reliability","Yes, I think it would",Maybe,"Somewhat not open","Yes, I observed",Maybe,No,Yes,Maybe,,"Mood Disorder (Depression, Bipolar Disorder, etc)|Stress Response Syndromes",No,,0,"Not applicable to me",Sometimes,30,female,"United Kingdom",,"United Kingdom",,"Supervisor/Team Lead|Back-end Developer|Front-end Developer",Never
1,,,,,,,,,,,,,,,,0,"I know some","Not applicable to me",N/A,"Not applicable to me","Not applicable to me","Not applicable to me",,1,"Some did","N/A (not currently aware)","Some did","Some did","I don't know","I don't know","Some of them","Some of my previous employers","No, at none of my previous employers","Some did","None of them",No,"Not relavent to my job",No,"I don't have one",Maybe,Maybe,"Not applicable to me (I do not have a mental illness)","Yes, I observed",No,"I don't know",No,No,,,No,,0,"Not applicable to me","Not applicable to me",34,m,"United Kingdom",,"United Kingdom",,"Back-end Developer",Sometimes
0,26-100,1,,"I don't know",No,No,"I don't know","I don't know","I don't know",Maybe,No,No,Maybe,"I don't know",No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did",No,"Yes, all of them","Some of them","No, at none of my previous employers","No, at none of my previous employers","None did","Some of them",Maybe,"I'm hesitant to give a potential employer any information that would disqualify me from the position -- legally protected or otherwise. They can always employ parallel construction based on other negative factors to reinforce a biased decision, so giving them extra ammo is a poor strategy for securing a paycheck.",No,"Same reasoning as above, but with more nuance: Software engineers are hired in part because of their intelligence and apparent mental fitness. To undermine their confidence in your ability to perform cognitively out of the gate would, in my experience, lead to the other candidates being selected even if they performed worse in the interview.","Yes, I think it would",Maybe,"Very open",N/A,,Yes,Maybe,Maybe,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)|Stress Response Syndromes|Addictive Disorder",No,,0,"Not applicable to me",Often,26,Male,"United States of America",Florida,"United States of America",Illinois,"DevOps/SysAdmin|Back-end Developer|Front-end Developer",Always
0,100-500,1,,Yes,"I am not sure","I don't know",Yes,No,"Somewhat easy",Maybe,Maybe,Maybe,No,"I don't know",Yes,,,,,,,,,1,"No, none did","Yes, I was aware of all of them","None did","None did",No,"Some of them","Some of them","Some of my previous employers","Some of my previous employers","Some did","Some of them",No,"If the physical health issue is chronic, I would be nervous that it would make them more likely to reject the application.",No,,"Yes, it has",Maybe,"Very open","Yes, I observed",Yes,No,Yes,No,,,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Post-traumatic Stress Disorder",1,Rarely,Sometimes,27,Female,"United Kingdom",,"United Kingdom",,"Back-end Developer",Always
0,26-100,1,,"I don't know",No,No,"I don't know","I don't know","Somewhat difficult",No,No,Maybe,Maybe,"I don't know",No,,,,,,,,,1,"Some did","No, I only became aware later","None did","Some did","I don't know","None of them","None of them","No, at none of my previous employers","Some of my previous employers","Some did","None of them",Maybe,"Less stigma",No,"Would feel it could affect outcome.",Maybe,"No, I don't think they would","Somewhat open","Maybe/Not sure",No,No,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder",,No,,1,Rarely,Often,29,Male,"United States of America",Minnesota,"United States of America",Minnesota,"Back-end Developer",Never
1,,,,,,,,,,,,,,,,1,"I know some","No, because it would impact me negatively",N/A,"No, because it would impact me negatively","Not applicable to me",Yes,1-25%,1,"Some did","I was aware of some","None did","None did","I don't know","Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers","None did","Some of them",No,"would only bring it up, after the job offer -- and only asking for ergonomic keyboard/chair and better monitor(s). No need to bring it up if they don't offer the job, right?",No,"never. you have no background info about the person who is interviewing you and their understanding of mental health.","Yes, I think it would","Yes, I think they would","Not open at all","Yes, I experienced",Yes,Yes,Maybe,Maybe,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",No,,0,"Not applicable to me",Sometimes,37,Female,Canada,,Canada,,"Front-end Developer|Back-end Developer",Always
1,,,,,,,,,,,,,,,,0,"I know some","No, because it would impact me negatively","I'm not sure","Sometimes, if it comes up","I'm not sure",Yes,51-75%,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Some of them","Some of them","Some of my previous employers","No, at none of my previous employers","None did","Some of them",Maybe,"Wold only bring it up if it would affect doing my job.",Maybe,"Only if working for the disability community.","Yes, I think it would",Maybe,"Somewhat open","Maybe/Not sure",No,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Dissociative Disorder|Autism",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Psychotic Disorder (Schizophrenia, Schizoaffective, etc)|Dissociative Disorder|Autism",1,Sometimes,Often,49,F,"United States of America",Maryland,"United States of America",Maryland,"Support|Back-end Developer|Front-end Developer|One-person shop",Always
0,"More than 1000",0,1,"I don't know",No,Yes,Yes,"I don't know","Somewhat easy",Maybe,Maybe,No,No,Yes,No,,,,,,,,,1,"I don't know","No, I only became aware later","None did","None did","I don't know","I don't know","None of them","No, at none of my previous employers","No, at none of my previous employers","I don't know","None of them",No,"Can damage my opportunity to ge in the job",No,"No good","Yes, I think it would","Yes, I think they would",Neutral,No,,No,No,No,,,No,,0,"Not applicable to me","Not applicable to me",39,Male,"United States of America","New York","United States of America","New York","Front-end Developer",Sometimes
1,,,,,,,,,,,,,,,,0,"No, I don't know any","Not applicable to me",N/A,"Not applicable to me","Not applicable to me","Not applicable to me",,1,"I don't know","N/A (not currently aware)","None did","None did","I don't know","I don't know","None of them","Some of my previous employers","I don't know","I don't know","None of them",Maybe,"it depends on whether the issue might be perceived as having more impact on my performance than it actually does, and whether i am confident i can explain the impact and work around it.",Maybe,"it depends on whether the issue might be perceived as having more impact on my performance than it actually does, and whether i am confident i can explain the impact and work around it.",Maybe,Maybe,"Not applicable to me (I do not have a mental illness)",N/A,,No,No,No,,,No,,0,"Not applicable to me","Not applicable to me",42,m,China,,China,,"Supervisor/Team Lead",Sometimes
0,500-1000,1,,Yes,Yes,No,"I don't know",Yes,"Neither easy nor difficult",Maybe,Maybe,Maybe,No,No,No,,,,,,,,,1,"Some did","I was aware of some","None did","Some did",Sometimes,"Yes, all of them","Yes, all of them","Some of my previous employers","No, at none of my previous employers","None did","None of them",No,"I believe disclosing anything about physical health will stop the interviewing process; I've lost interviews before for looking unwell.",No,"This is the same as disclosing a physical illness, but much more severe; people associate instability with mental health with instability at work, and want only a perfect neurotypical programmer who will be low risk","Yes, I think it would",Maybe,"Somewhat open","Yes, I observed",Yes,"I don't know",Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,28,Male,"United States of America","New York","United States of America","New York","Front-end Developer",Sometimes
1,,,,,,,,,,,,,,,,0,"I know some","No, because it would impact me negatively",Yes,"Sometimes, if it comes up","I'm not sure",Yes,26-50%,1,"I don't know","No, I only became aware later","None did","None did","I don't know","I don't know","None of them","No, at none of my previous employers","I don't know","I don't know","None of them",No,"Fear of not getting the job",No,"Fear of not getting the job","Yes, it has",Maybe,"Somewhat open",N/A,,"I don't know",No,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder",,No,,1,Sometimes,Often,33,Male,"United States of America",Texas,"United States of America",Texas,"Executive Leadership",Always
1,,,,,,,,,,,,,,,,0,"Yes, I know several","No, because it would impact me negatively",Yes,"No, because it would impact me negatively","I'm not sure",Yes,1-25%,1,"No, none did","N/A (not currently aware)","None did","None did",No,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers","None did","Yes, all of them",Maybe,,No,,"Yes, I think it would","Yes, I think they would","Somewhat open","Yes, I observed",Yes,Yes,Maybe,No,,,No,,1,Sometimes,Sometimes,30,female,"United Kingdom",,"United Kingdom",,"Executive Leadership",Sometimes
0,26-100,1,,Yes,Yes,No,No,Yes,"Neither easy nor difficult",No,No,Yes,Yes,"I don't know",No,,,,,,,,,1,"Yes, they all did","I was aware of some","None did","None did","I don't know","Some of them","Some of them","Some of my previous employers","No, at none of my previous employers","None did","None of them",Maybe,"If that physical heath issue were not germane to the work, I would not bring it up.",No,"If that mental heath issue were not germane to the work, I would not bring it up.","No, I don't think it would","No, I don't think they would","Very open",No,,"I don't know",Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Obsessive-Compulsive Disorder",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Obsessive-Compulsive Disorder",1,Never,"Not applicable to me",70,Male,"United States of America",California,"United States of America",California,"Dev Evangelist/Advocate|Back-end Developer",Always
0,6-25,1,,No,N/A,No,No,"I don't know","Neither easy nor difficult",Maybe,No,No,Maybe,Yes,No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","I don't know","None of them","Some of my previous employers","Some of my previous employers","Some did","None of them",Yes,,No,,"Yes, I think it would",Maybe,"Somewhat not open",No,,Yes,Maybe,Maybe,,"Anxiety Disorder (Generalized, Social, Phobia, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",1,Sometimes,Sometimes,25,Male,Germany,,Germany,,"Back-end Developer",Sometimes
0,26-100,1,,"I don't know","I am not sure","I don't know","I don't know","I don't know","Neither easy nor difficult",No,Maybe,Yes,Yes,Yes,No,,,,,,,,,1,"I don't know","N/A (not currently aware)","None did","None did","I don't know","Some of them","Some of them","Yes, at all of my previous employers","Yes, at all of my previous employers","Some did","None of them",Yes,"It's better to be open at interviews about all health issues as it speaks to the employer's attitudes as much as anything. ",Yes,"Same answer - I want to know how a potential employer would react before I consider working for them.  ","No, I don't think it would","No, I don't think they would","Very open",No,,No,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",1,Rarely,Often,45,Male,"United Kingdom",,"United Kingdom",,"Back-end Developer",Sometimes
0,"More than 1000",0,1,Yes,Yes,"I don't know",Yes,Yes,"Neither easy nor difficult",No,No,Yes,Yes,"I don't know",No,,,,,,,,,1,"I don't know","N/A (not currently aware)","I don't know","None did","I don't know","I don't know","Some of them","No, at none of my previous employers","I don't know","I don't know","None of them",No,"They don't need to know unless/until it affects my work ",No,"They don't need to know unless/until it affects my work.","No, I don't think it would","No, I don't think they would","Very open","Maybe/Not sure",N/A,"I don't know",Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Never,Rarely,63,F,"United States of America","North Carolina","United States of America","North Carolina","Back-end Developer",Never
0,26-100,1,,Yes,Yes,Yes,Yes,Yes,"Somewhat difficult",No,No,Maybe,Maybe,"I don't know",No,,,,,,,,,1,"Some did","I was aware of some","Some did","Some did","I don't know","I don't know","None of them","Some of my previous employers","Some of my previous employers","Some did","None of them",No,"I would be concerned that there would be negative bias, even if unintentional.",No,"I would be very concerned about potential negative bias.","No, it has not",Maybe,"Somewhat open",No,,Yes,Maybe,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,No,,1,Sometimes,Sometimes,40,male,"United States of America",Colorado,"United States of America",Colorado,"Back-end Developer|Front-end Developer",Always
0,26-100,1,,Yes,Yes,No,"I don't know","I don't know","Very easy",Maybe,No,Maybe,Maybe,Yes,No,,,,,,,,,1,"Some did","I was aware of some","Some did","None did","I don't know","Some of them","Some of them","Some of my previous employers","No, at none of my previous employers","I don't know","Some of them",No,"Unless it would directly effect my performance in the position, the condition would not be relevant.",No,"Due to lack of understanding, without bias, how a treated mental health issue could effect work.","Yes, it has",Maybe,"Very open","Maybe/Not sure",N/A,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Often,39,male,"United States of America",Florida,"United States of America",Florida,"Back-end Developer",Sometimes
0,6-25,1,,Yes,No,No,No,"I don't know","Somewhat easy",No,No,Maybe,Maybe,Yes,No,,,,,,,,,1,"Some did","I was aware of some","None did","None did","I don't know","Yes, all of them","Some of them","Some of my previous employers","Some of my previous employers","I don't know","Some of them",No,"I don't have anything serious enough to chance negatively affecting the outcome.",Maybe,"It would depend on whether or not I could trust the employer to not stigmatise me as well as how desperately I needed or wanted the job. I can cover my illness fairly well and wouldn't want to harm my chances of getting the job, if necessary.",Maybe,"No, I don't think they would","Somewhat open","Yes, I observed",No,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (Anorexia, Bulimia, etc)|Attention Deficit Hyperactivity Disorder|Personality Disorder (Borderline, Antisocial, Paranoid, etc)",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (Anorexia, Bulimia, etc)|Attention Deficit Hyperactivity Disorder|Personality Disorder (Borderline, Antisocial, Paranoid, etc)",1,Sometimes,Often,31,Cis-woman,"United States of America",Oregon,"United States of America",Wisconsin,"Front-end Developer|Designer",Always
0,26-100,1,,No,N/A,No,No,"I don't know","Very difficult",Yes,Yes,No,No,No,No,,,,,,,,,1,"Some did","N/A (not currently aware)","None did","None did","I don't know","Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers","None did","Some of them",No,"That would be career suicide",No,"That would be career suicide","Yes, it has","Yes, I think they would","Not open at all","Yes, I observed",Yes,"I don't know",Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder|Substance Use Disorder",,No,,0,Never,Sometimes,34,male,"United States of America",California,"United States of America",California,"Back-end Developer",Never
1,,,,,,,,,,,,,,,,1,"I know some","No, because it would impact me negatively","I'm not sure","Sometimes, if it comes up","I'm not sure",Yes,76-100%,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Yes, all of them","None of them","Some of my previous employers","No, at none of my previous employers","None did","None of them",Yes,,Maybe,,"Yes, I think it would",Maybe,"Very open","Maybe/Not sure",No,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,44,Male,"United Kingdom",,"United Kingdom",,"One-person shop",Sometimes
0,500-1000,1,,"Not eligible for coverage / N/A",No,Yes,No,"I don't know","Somewhat easy",Maybe,Maybe,Maybe,Yes,"I don't know",No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Some of them","Some of them","No, at none of my previous employers","No, at none of my previous employers","I don't know","None of them",No,"Not being sure about privacy.",No,"Not being sure about privacy and consequences",Maybe,Maybe,"Somewhat not open",No,,No,No,Maybe,,"Mood Disorder (Depression, Bipolar Disorder, etc)",No,,0,Sometimes,Sometimes,45,m,Ireland,,Ireland,,"Back-end Developer",Always
0,100-500,0,1,Yes,Yes,No,No,Yes,"Very easy",No,No,Yes,Yes,Yes,No,,,,,,,,,1,"I don't know","No, I only became aware later","None did","None did","I don't know","Some of them","Some of them","Some of my previous employers","Some of my previous employers","Some did","None of them",Yes,"If it was going to impact my ability to perform my job, I would feel obligated to let them know.",Yes,"If it was going to affect the ability to do my job, I would feel obligated to let them know.","No, I don't think it would","No, they do not","Very open",No,,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder",,Yes,"Attention Deficit Hyperactivity Disorder",1,Rarely,Often,43,Male,"United States of America",Alabama,"United States of America",Alabama,"Executive Leadership",Sometimes
0,26-100,1,,Yes,Yes,No,No,Yes,"Somewhat easy",Maybe,No,Maybe,Yes,Yes,No,,,,,,,,,1,"Some did","No, I only became aware later","None did","None did","I don't know","Yes, all of them","Some of them","No, at none of my previous employers","No, at none of my previous employers","None did","Some of them",Maybe,,Maybe,,Maybe,Maybe,"Somewhat open",No,,Yes,No,No,,,No,,0,"Not applicable to me","Not applicable to me",29,male,"United States of America",Tennessee,"United States of America",Tennessee,"Back-end Developer|Supervisor/Team Lead",Always
0,100-500,1,,Yes,Yes,No,No,Yes,"Somewhat easy",Maybe,Maybe,Maybe,Yes,"I don't know",No,,,,,,,,,1,"Some did","No, I only became aware later","None did","None did",Sometimes,"Some of them","Some of them","Some of my previous employers","Some of my previous employers","None did","Some of them",Maybe,"The job I go for require a lot of travel, and a physical health issue might impact their belief in my ability to complete my job.",No,"You never know. And the last thing you want in an interview is an armchair psychologist telling you ""you just need to try harder""","Yes, it has","Yes, they do","Very open","Yes, I experienced",Maybe,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder|Stress Response Syndromes",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder",1,Never,Often,27,Genderqueer,"United States of America",Texas,"United States of America",Texas,"Dev Evangelist/Advocate",Always
0,100-500,1,,Yes,Yes,"I don't know",Yes,Yes,"Somewhat difficult",Maybe,Maybe,Maybe,Yes,Yes,No,,,,,,,,,1,"Some did","I was aware of some","Some did","Some did",Sometimes,"Some of them","Some of them","Some of my previous employers","Some of my previous employers","None did","Some of them",Yes,"I feel dishonest if I do not disclose things up-front",Maybe,"Mental health stigmas mean that I feel uncomfortable discussing mental issues up front",Maybe,"No, I don't think they would","Somewhat not open","Maybe/Not sure",Maybe,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,37,Male,"United States of America","New Mexico","United States of America","New Mexico","Supervisor/Team Lead|Back-end Developer|Front-end Developer",Always
